equipment,equipment_code
mobile,2
planshet,4
telephones,8896
notebooks,4871
accessories,6
modems_routers,5
smart_watches,7039
kids_watch,9719
headphones_and_headsets,8897
portable_acoustics,4768
smart_house,1826
automotive,5309
for_kids,5890
hobbies_and_gadgets,15785
aks,11798
